,AdrActCnt,CapMVRVCur,HashRate,PriceUSD,times,OneDayReturn,NextDayReturn
2179,260678.0,1.00818325439101,321678.042660167,331.571033898305,2014-12-22,0.032361876151869584,0.23151299514977408
2180,244340.0,1.02859505651599,294217.721945275,336.588987142022,2014-12-23,0.015133870967920737,-0.9048495295413108
2181,186732.0,0.988200621578101,300102.07638418,323.22724868498,2014-12-24,-0.03969749150290558,-0.3273712622904207
2182,166473.0,0.976874636036827,309909.333782356,319.40243132671,2014-12-25,-0.0118332144762886,0.5877012847679562
2183,192091.0,1.00864797799491,298140.624904545,329.725691116306,2014-12-26,0.03232054229116543,-0.9258283076158427
2184,210729.0,0.96804936224717,298140.624904545,316.302639976622,2014-12-27,-0.040709752079795325,-0.03032568370291917
2185,263683.0,0.971228002824003,331485.300058343,317.09330917592,2014-12-28,0.0024997236803223633,-0.34983192885325354
2186,204682.0,0.959458936093413,321678.042660167,312.997421683226,2014-12-29,-0.012916978612190433,-0.1806877190928531
2187,204192.0,0.959324415333496,306495.476137719,311.508964932788,2014-12-30,-0.004755492049849597,0.4811331791730047
2188,177886.0,0.986846663108505,307081.470445709,319.975297556984,2014-12-31,0.027178455766185605,-0.39905133715840463
2189,145765.0,0.971932308620575,333345.017260144,315.0822685564,2015-01-01,-0.01529189608679915,-0.011470766720749597
2190,212932.0,0.975546497411203,333345.017260144,316.156542957335,2015-01-02,0.0034095044632531657,-2.0569932299018223
2191,241755.0,0.884895137528404,327284.198764505,286.0298842782,2015-01-03,-0.0952903216783989,-1.720627935576294
2192,235011.0,0.816647119071928,347486.927083302,263.416320864991,2015-01-04,-0.07906014251019466,0.4422600774194989
2193,242515.0,0.839255813719716,315162.561773228,270.081482027469,2015-01-05,0.025302764614551387,0.5254960057611443
2194,215554.0,0.864209584088308,319203.107436987,278.0000105,2015-01-06,0.029319035178152708,1.557930076596226
2195,204697.0,0.932446229211932,282838.196463153,299.99973,2015-01-07,0.0791356786657389,-0.5931205842551243
2196,230454.0,0.911197721806089,296980.106286311,292.602919637639,2015-01-08,-0.024656056731654385,0.03304333129567309
2197,237524.0,0.918085307930535,282838.196463153,294.229026120397,2015-01-09,0.005557382970654556,-1.388077146528769
2198,274443.0,0.861332155068131,296980.106286311,275.688472530684,2015-01-10,-0.06301401950100705,-0.6181530978043329
2199,249636.0,0.839647566828801,313142.288941348,268.558088836937,2015-01-11,-0.02586391671836563,-0.15021638938412415
