,AdrActCnt,CapAct1yrUSD,PriceUSD,times,OneDayReturn,NextDayReturn
166,8287.0,6635850741.80484,0.213285785310711,2018-03-08,-0.1192504442706499,0.0048512041305643905
167,7572.0,6668042608.33329,0.214320478193401,2018-03-09,0.0048512041305643905,-0.05840233938880046
168,5046.0,6278613320.86243,0.20180366088798,2018-03-10,-0.05840233938880046,0.08584346088580719
169,4875.0,6817591217.88899,0.21912718555803,2018-03-11,0.08584346088580719,-0.007492524671605549
170,5141.0,6766510247.48804,0.217485369714017,2018-03-12,-0.007492524671605549,0.00016286269030230116
171,4769.0,6767612259.5509,0.21752078996643,2018-03-13,0.00016286269030230116,-0.10815749533494179
172,5060.0,6035644268.15983,0.193994286140383,2018-03-14,-0.10815749533494179,-0.06259120874929924
173,6310.0,5657865997.83493,0.181851949280399,2018-03-15,-0.06259120874929924,-0.02585988030258013
174,5313.0,5511554260.36288,0.177149279639217,2018-03-16,-0.02585988030258013,-0.14329183005529145
175,5015.0,4721793563.94644,0.151765235166737,2018-03-17,-0.14329183005529145,0.0250037331352726
176,8432.0,4839856030.13921,0.155559932606058,2018-03-18,0.0250037331352726,0.1965459593483736
177,6341.0,5791110176.69093,0.186134608796284,2018-03-19,0.1965459593483736,0.0830582604086878
178,5533.0,6272109713.80193,0.201594625604755,2018-03-20,0.0830582604086878,0.021115218984729678
179,5484.0,6404546683.9051,0.205851340270544,2018-03-21,0.021115218984729678,-0.03269916658028771
180,5910.0,6195123345.01686,0.199120173004262,2018-03-22,-0.03269916658028771,-0.07986415522946844
181,5320.0,5700355052.52473,0.183217608598131,2018-03-23,-0.07986415522946844,0.02387902120322538
182,7860.0,5836473951.68988,0.18759266575865,2018-03-24,0.02387902120322538,-0.03454434146161811
183,4084.0,5634856802.57087,0.181112400656988,2018-03-25,-0.03454434146161811,-0.08754684975933602
184,4351.0,5141542840.66082,0.165256580527118,2018-03-26,-0.08754684975933602,-0.07247159252279045
185,2606.0,4768927042.97398,0.153280172961447,2018-03-27,-0.07247159252279045,0.02641898956183031
186,2824.0,4894917276.74344,0.157329680250951,2018-03-28,0.02641898956183031,-0.09104348481039659
187,4736.0,4449266950.0101,0.143005837896799,2018-03-29,-0.09104348481039659,-0.007738291755918447
188,4228.0,4414837224.25096,0.141899217000354,2018-03-30,-0.007738291755918447,0.06620634624321142
189,3863.0,4707127466.12714,0.15129384569272,2018-03-31,0.06620634624321142,-0.02757516644717517
190,3321.0,4577327642.76061,0.14712189271531,2018-04-01,-0.02757516644717517,0.03266693305338264
191,3363.0,4726854898.43007,0.151927913735328,2018-04-02,0.03266693305338264,0.11541331223637852
192,4928.0,5272396878.71863,0.169462417480685,2018-04-03,0.11541331223637852,-0.10470472120976537
193,4149.0,4720352033.42516,0.151718902302837,2018-04-04,-0.10470472120976537,-0.026738294811450958
194,7046.0,4594137869.14161,0.147662197564594,2018-04-05,-0.026738294811450958,-0.033480979938039446
195,5546.0,4440321631.31229,0.142718322490327,2018-04-06,-0.033480979938039446,0.030073647374329937
196,3947.0,4573858298.28098,0.147010382994757,2018-04-07,0.030073647374329937,0.058042866721246034
197,4098.0,4839338145.88997,0.155543287061561,2018-04-08,0.058042866721246034,-0.031055728448346254
198,3923.0,4689048974.56149,0.150712776976614,2018-04-09,-0.031055728448346254,0.0283089700614767
